id	w	p	l	c1	c2	pred
378	go	V	F	Messages must go through diplomatic channels .	The speech has to go through several more drafts .	F
379	finish	N	F	His best finish in a major tournament was third .	It was a fight to the finish .	F
380	head	N	F	A reduction in the assessment per head of sheep .	He was at the head of the column .	F
381	range	N	T	He dreamed of a home on the range .	They used to drive the cattle across the open range every spring .	T
382	run	V	T	Run a new program on the Mac .	Do n't run that software unless you have permission . ' .	F
383	land	N	F	They come from a faraway land .	He returned to the land of his birth .	T
384	break	V	T	Nobody can break out -- this prison is high security .	Three inmates broke jail .	T
385	reduce	V	F	Reduce a problem to a single question .	Reduce one 's standard of living .	F
386	bank	V	F	The pilot had to bank the aircraft .	Bank a fire .	F
387	splash	N	F	I heard a splash when the rock landed in the pond .	He made a great splash and then disappeared .	T
388	check	V	F	Check the time of the class .	Check the oil in your car once a month .	T
389	give	V	F	Give the orders .	The French doors give onto a terrace .	F
390	develop	V	T	Develop land .	The country developed its natural resources .	F
391	rearrange	V	T	Please rearrange these files .	Rearrange the furniture in my room .	T
392	art	N	F	Art does not need to be innovative to be good .	It 's quite an art .	T
393	see	V	F	I went to see my friend Mary the other day .	This program will be seen all over the world .	F
394	business	N	T	Show me where the business was today .	Business has been slow lately .	T
395	carry	V	F	Put down 5 and carry 2 .	This paper carries a restaurant review .	F
396	sing	V	T	I really want to sing in the school choir . said Vera .	My brother sings very well .	T
397	job	N	T	The job of repairing the engine took several hours .	I 've got a job for you - could you wash the dishes ?	F
398	give	V	F	Give a course .	She gave the boy a good spanking .	F
399	time	N	F	We had a wonderful time at the party .	I did n't have time to finish .	F
400	title	N	T	He looked for books with the word ` jazz ' in the title .	I can never remember movie titles .	T
401	exercise	V	T	Some parents exercise their infants .	This puzzle will exercise your mind .	T
402	carry	V	T	These bonds carry warrants .	The restaurant carries an unusual name .	F
403	language	N	T	He recorded the spoken language of the streets .	He uttered harsh language .	F
404	track	V	F	Track a missile .	I tracked prints .	F
405	polish	V	T	Polish my shoes .	He polished up the chrome until it gleamed .	T
406	product	N	F	This is a product of lime and nitric acid .	His reaction was the product of hunger and fatigue .	F
407	come	V	F	Come into the room .	The first success came three days later .	F
408	check	V	T	Check the brakes .	I will check up on the car tomorrow .	F
409	control	N	F	The control condition was inappropriate for the conclusions he wished to draw .	I turned the controls over to her .	F
410	give	V	F	Give priority to .	The French doors give onto a terrace .	F
411	call	N	T	He heard the phone ringing but did n't want to take the call .	He placed a phone call to London .	F
412	move	V	T	We must move quickly .	Come on guys , let 's move : there 's work to do !	T
413	know	V	T	I know the feeling !	Have you ever known hunger ?	T
414	hegemony	N	T	The consolidation of the United States ' hegemony over a new international economic system .	To say they have priority is not to say they have complete hegemony .	T
415	float	V	F	Float the plaster .	The balloon floated off into the distance .	T
416	make	V	F	Make a move .	They make a cute couple .	F
417	play	V	F	Play a hooked fish .	He played $ 20 on the new horse .	F
418	get	V	T	Where did she get these news ?	You can not get water out of a stone .	F
419	run	N	T	His daily run keeps him fit .	He broke into a run .	T
420	know	V	T	I know your mother , but I 've never met your father .	I know this voice !	T
421	practice	N	F	I took over his practice when he retired .	It is not the local practice to wear shorts to dinner .	F
422	inwardness	N	F	Inwardness is what an Englishman quite simply has , painlessly , as a birthright .	Socrates ' inwardness , integrity , and inquisitiveness"- H.R.Finch .	T
423	admit	V	T	To admit a serious thought into the mind .	To admit evidence in the trial of a cause .	F
424	date	N	F	His date never stopped talking .	We have n't heard from them to date .	F
425	feast	N	F	We had a feast to celebrate the harvest .	The Thanksgiving feast .	T
426	section	N	F	A section of a fishing rod .	The finance section of the company .	F
427	tramp	N	F	A homeless tramp .	The tramp of military boots .	F
428	life	N	T	The battery had a short life .	He lived a long and happy life .	F
429	make	V	F	Make an estimate .	Can you make me an omelette ?	T
430	run	V	F	The sale will run for ten days .	They ran twenty blood tests on me and they still do n't know what 's wrong .	F
431	break	V	F	Break the cycle of poverty .	The first winter storm broke over New York .	F
432	notice	N	F	A notice of sale .	He took no notice of the changes , and went on as though nothing had happened .	F
433	tomorrow	N	T	Everyone hopes for a better tomorrow .	Tomorrow 's world .	T
434	break	V	F	Break a promise .	The surf broke .	F
435	master	N	T	A master of the violin .	One of the old masters .	F
436	mixture	N	F	He drank a mixture of beer and lemonade .	A gradual mixture of cultures .	T
437	keep	V	F	Can I keep my old stuffed animals ?	Keep smiling .	F
438	cut	V	F	The glass from the shattered windshield cut into her forehead .	The new tooth is cutting .	F
439	suffer	V	T	I 've been suffering your insults for years .	He suffered the penalty .	T
440	call	N	T	He placed a phone call to London .	I received several phone calls today .	T
441	service	V	T	Service my truck .	The washing machine needs to be serviced .	F
442	break	V	F	I had to break a $ 100 bill just to buy the candy .	His voice is breaking -- he should no longer sing in the choir .	F
443	make	V	F	Make one 's way into the forest .	Make yourself clear .	F
444	turn	V	T	Turn cartwheels .	Turn a somersault .	T
445	emission	N	F	The emission of heat from a fire .	The emission was mostly blood .	F
446	catch	V	F	I have some free time tonight so I think I 'll catch a movie .	The fashion did not catch .	F
447	repair	V	F	To repair a shattered fortune .	To repair to sanctuary for safety .	F
448	excuse	N	F	He 's a sorry excuse of a doctor .	He had to get his mother to write an excuse for him .	F
449	touch	V	F	The local Mafia wo n't touch gambling .	Are you all right ? You 've hardly touched your lunch .	F
450	dent	N	F	It made a dent in my bank account .	The crash produced a dent in the left side of the car .	T
451	keep	V	F	Where do you keep your gardening tools ?	These potatoes keep for a long time .	F
452	patch	N	T	A cabbage patch .	A briar patch .	F
453	take	V	F	Take a risk .	I 'll take that plate off the table .	F
454	see	V	F	I want to see whether she speaks French .	I saw their laughing and joking .	F
455	place	N	T	He overstepped his place .	It is really not my place to say what is right and wrong in this case .	T
456	hold	V	F	The general ordered the colonel to hold his position at all costs .	He held the governorship for almost a decade .	F
457	break	N	F	The break in the eighth frame cost him the match .	They hoped to avoid a break in relations .	F
458	line	N	T	In line with .	He got out of line .	F
459	head	N	F	Under the head of minor Roman poets .	The head of the hammer .	F
460	come	V	T	Come into the room .	Come down here !	T
461	run	N	F	The team enjoyed a brief run of victories .	Yesterday we did a run of 12,000 units .	F
462	take	V	T	How should I take this message ?	Looking at him as he came into the room , I took him for his father .	T
463	grain	N	F	He does not have a grain of sense .	A grain of sand .	F
464	strike	V	T	We must strike the enemy 's oil fields .	In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 .	F
465	fill	V	F	Fill a container .	The liquid fills the container .	T
466	summer	V	T	We like to summer in the Mediterranean .	We summered in Kashmir .	T
467	way	N	T	I felt the same way .	That 's the way it is .	T
468	party	N	T	The green party took 12 % of the vote .	In 1992 Perot tried to organize a third party at the national level .	T
469	reproduction	N	T	Unauthorized reproduction of this article is prohibited .	Gutenberg 's reproduction of holy texts was far more efficient .	T
470	leak	N	T	A leak in a boat .	A leak in a roof .	T
471	grain	N	T	A grain of salt .	A grain of sand .	T
472	multiply	V	T	He managed to multiply his profits .	He had been multiplying , but it occurred to him he needed to resolve the exponents , first .	T
473	baby	N	T	It was great to feel my baby moving about inside .	I felt healthy and very feminine carrying the baby .	T
474	see	V	T	You should see a lawyer .	We had to see a psychiatrist .	T
475	term	N	T	He left school before the end of term .	He was sentenced to a term of six years in prison .	F
476	get	V	F	She did n't get his name when they met the first time .	Her childish behavior really get to me .	F
477	rest	N	T	Now that we 're all in agreement , we can put that issue to rest .	The boulder came to rest just behind the house after rolling down the mountain .	T
478	push	N	F	He gave the door a hard push .	The push of the water on the walls of the tank .	T
479	heat	V	F	Heat the house .	Heat the water on the stove .	T
480	draw	V	F	Draw a conclusion .	She drew $ 2,000 from the account .	F
481	fall	V	F	Fall into a trap .	The barometer is falling .	F
482	frequency	N	T	The frequency of modulation was 40 cycles per second .	The frequency of his seizures increased as he grew older .	T
483	head	N	T	They were at the head of the attack .	The head of the column advanced boldly .	T
484	take	V	T	How should I take this message ?	He was often taken to be a man of means .	F
485	size	N	F	That 's the size of the situation .	A wolf is about the size of a large dog .	F
486	drill	V	T	Drill for oil .	Drill a small hole to start the screw in the right direction .	F
487	stand	V	F	Here I stand , wondering what to do next .	There stood on the corner a statue .	T
